"Mid Depth zi (cm)","Total Pb-210 dmp/g","Total Pb-210 Uncertainty u(Pb-210) dmp/g","Supported Pb-210 dmp/g","Supported Pb-210 Uncertainty u(sPb-210) dmp/g","Excess Pb-210 Ci dmp/g","Excess Pb-210 Uncertainty u(Ci) dmp/g","Excess Pb-210 C(i) dmp/g","Excess Pb-210 Uncertainty u(C(i)) dmp/g","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Mass Depth mi (g/cm^2)","ln(Ci)","u(ln(Ci))"
11.5,5.21017019673636,0.0721821836536455,0.7,0.0724706193230163,4.51017019673636,0.102285181243766,,,1.14180815302093,0.0342115269480051,3.18303388175,1.5063348904381,0.022678785230274
,,,,,,,4.48663175113343,0.072326553473054,,,,,
12.5,5.1630933055305,0.0721822165220112,0.7,0.0724706193230163,4.4630933055305,0.102285204438824,,,1.20195278075616,0.0354929742811752,3.44427005225,1.49584209188849,0.0229180071839583
,,,,,,,4.813570592467,0.0723265543654933,,,,,
13.5,5.8640478794035,0.0721821872305423,0.7,0.0724706193230163,5.1640478794035,0.102285183767966,,,1.39246976704838,0.036381887590391,3.71374820555,1.64172074470816,0.0198071718459321
,,,,,,,5.27543351734992,0.0723265508792034,,,,,
14.5,6.08681915529634,0.0721822025489655,0.7,0.0724706193230163,5.38681915529634,0.102285194578108,,,1.47901562328898,0.0362377789094356,3.985852661,1.6839550725569,0.0189880505785201
,,,,,,,5.19688174790591,0.072326557301338,,,,,
15.5,5.70694434051547,0.072182212970454,0.7,0.0724706193230163,5.00694434051547,0.102285201932506,,,1.33892394061217,0.0362822363578692,4.2568403339,1.61082581695198,0.0204286676615973
,,,,,,,4.65442293979616,0.0723265597502699,,,,,
16.5,5.00190153907686,0.0721822123642827,0.7,0.0724706193230163,4.30190153907686,0.102285201504734,,,1.16228495772007,0.0351942731416637,4.52563670155,1.45905714333975,0.0237767416514797
,,,,,,,3.87104585707338,0.0723265858713817,,,,,
17.5,4.1401901750699,0.0721823176637875,0.7,0.0724706193230163,3.4401901750699,0.102285275814154,,,0.933825487969333,0.0327954824330466,4.7964493217,1.23552675330779,0.029732448094116
,,,,,,,3.37694524103512,0.0723266196109627,,,,,
18.5,4.01370030700035,0.072182347592445,0.7,0.0724706193230163,3.31370030700035,0.102285296934692,,,0.901061093222948,0.0321731091913716,5.0681322229,1.19806548250725,0.0308673951952171
,,,,,,,3.29252659251407,0.0723266294773429,,,,,
19.5,3.97135287802779,0.072182357208197,0.7,0.0724706193230163,3.27135287802779,0.102285303720492,,,0.876584625557558,0.031546748826676,5.3380710946,1.18520362351644,0.031266973492067
,,,,,,,2.82013183660951,0.0723267361821703,,,,,
20.5,3.06891079519123,0.0721827752639522,0.7,0.0724706193230163,2.36891079519123,0.102285598741308,,,0.771175982818938,0.0351875273966119,5.63482017165,0.862430269419655,0.0431783243796863
,,,,,,,2.32470496277364,0.0723268587485102,,,,,
21.5,2.98049913035604,0.0721828484529288,0.7,0.0724706193230163,2.28049913035604,0.102285650390659,,,0.744396312680625,0.035085090844235,5.9607994088,0.824394335830383,0.044852308439464
,,,,,,,2.39573496912114,0.0723268376345102,,,,,
