"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Inventory Below A(i) dpm/cm^2","Inventory Below Uncertainty u(A(i)) dpm/cm^2","Age t(i) yr","Age Uncertainty u(t(i)) yr","Year CE","Mass Accumulation Rate r(i) g/(cm^2 yr)","Mass Accumulation Rate Uncertainty u(r(i)) g/(cm^2 yr)","Dry Bulk Density Section ri g/cm^3","Dry Bulk Density Section Uncertainty u(ri) g/cm^3","Dry Bulk Density Layer r(i) g/cm^3","Dry Bulk Density Layer Uncertainty u(r(i)) g/cm^3","Sediment Accumulation Rate s(i) cm/yr","Sediment Accumulation Rate Uncertainty U(s(i)) cm/yr"
23,,,,7.3405844685486,0.333905426194436,61.3923309560881,1.3073511206995,1960.20195408024,0.0763484642474143,0.00460176315015668,,,0.33197988595,0.00327021270010033,0.229979186928552,0.0140454763642859
,23.5,1.05910850488905,0.0568837023665109,,,,,,,,0.331073079,0.00455467355965867,,,,
24,,,,6.28147596365956,0.329024433814825,66.389442600231,1.5287438936934,1955.20484243609,0.0643078978719046,0.00451708719916275,,,0.326007772883333,0.00285717730624518,0.197258787123822,0.0139632014274308
,24.5,0.928271622900531,0.0742816351832376,,,,,,,,0.320942466766667,0.00345091254630367,,,,
25,,,,5.35320434075903,0.320529743895431,71.5179228608411,1.77264939266845,1950.07636217548,0.0606528199894646,0.0050918264713551,,,0.31587716065,0.00249844459711558,0.192013945752379,0.0161910286982644
,25.5,0.811739447260082,0.0711014909674366,,,,,,,,0.310811854533333,0.00361387661897692,,,,
26,,,,4.54146489349894,0.312544228396363,76.7918791205559,2.06233936105658,1944.80240591577,0.0570243255509166,0.00509014587498998,,,0.305746548416667,0.00305201064452181,0.186508485038414,0.0167520287282771
,26.5,0.708056475988714,0.0512644021400951,,,,,,,,0.3006812423,0.00491924503149718,,,,
27,,,,3.83340841751023,0.308311296869084,82.2277813421205,2.43401488447062,1939.3665036942,0.0517997617331524,0.00493811270469974,,,0.3062032065,0.00357784252251595,0.169167927159353,0.016247599452848
,27.5,0.704553854924565,0.0530882573862549,,,,,,,,0.3117251707,0.00519661974592942,,,,
28,,,,3.12885456258566,0.303706260562385,88.7410182555759,2.96664645108575,1932.85326678075,0.051129222495752,0.00588300391378283,,,0.30763446735,0.00366353408777283,0.166201215800639,0.0192255094254006
,28.5,0.472324092162947,0.0510509083195578,,,,,,,,0.303543764,0.00516537232591326,,,,
29,,,,2.65653047042272,0.299384865122697,93.9893287268359,3.46777083471544,1927.60495630949,0.0557408415999732,0.00767840806484267,,,0.3152381091,0.00358800007085105,0.176821393070503,0.0244404900285631
,29.5,0.462944537315739,0.0547550950410529,,,,,,,,0.3269324542,0.00498135591665543,,,,
30,,,,2.19358593310698,0.294335144064688,100.130411486994,4.15660137650191,1921.46387354933,0.0499399612146929,0.00795700505170215,,,0.3293042108,0.00356954033792817,0.151652968825909,0.024218936398663
