"Mid Depth zi (cm)","Total Pb-210 dmp/g","Total Pb-210 Uncertainty u(Pb-210) dmp/g","Supported Pb-210 dmp/g","Supported Pb-210 Uncertainty u(sPb-210) dmp/g","Excess Pb-210 Ci dmp/g","Excess Pb-210 Uncertainty u(Ci) dmp/g","Excess Pb-210 C(i) dmp/g","Excess Pb-210 Uncertainty u(C(i)) dmp/g","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Mass Depth mi (g/cm^2)","ln(Ci)","u(ln(Ci))"
11.5,5.53224135132497,0.331012159917922,0.414199268595485,0.149578089494062,5.11804208272949,0.363239115281135,,,1.39651390147623,0.101159565554471,3.2151806247625,1.63277196019881,0.0709722799089251
,,,,,,,4.93346805983225,0.199703863325767,,,,,
12.5,5.1630933055305,0.0721822165220112,0.414199268595485,0.149578089494062,4.74889403693501,0.16608394636064,,,1.27892159147498,0.0506729892960363,3.4862657849,1.55791175660696,0.0349731842969974
,,,,,,,5.09937132387152,0.117439080216939,,,,,
13.5,5.8640478794035,0.0721821872305423,0.414199268595485,0.149578089494062,5.44984861080802,0.166083933630194,,,1.46953506295092,0.0513086768004823,3.7557439382,1.69558783045595,0.0304749627908599
,,,,,,,5.56123424875444,0.117439078069857,,,,,
14.5,6.08681915529634,0.0721822025489655,0.414199268595485,0.149578089494062,5.67261988670086,0.166083940287776,,,1.55748563215852,0.0515849518060219,4.02784839365,1.73565107216882,0.0292781719214344
,,,,,,,5.48268247931042,0.117439082025022,,,,,
15.5,5.70694434051547,0.072182212970454,0.414199268595485,0.149578089494062,5.29274507191998,0.166083944817088,,,1.41535088197549,0.0510635803947062,4.29883606655,1.66633702846639,0.0313795473918111
,,,,,,,4.94022367120068,0.117439083533232,,,,,
16.5,5.00190153907686,0.0721822123642827,0.414199268595485,0.149578089494062,4.58770227048137,0.166083944553638,,,1.23950241330325,0.0505337662994537,4.5676324342,1.52337930406675,0.0362019884381493
,,,,,,,4.15684658847789,0.117439099620298,,,,,
17.5,4.1401901750699,0.0721823176637875,0.414199268595485,0.149578089494062,3.72599090647442,0.16608399031818,,,1.01140492221104,0.0488859422345736,4.83844505435,1.31533283161668,0.0445744486465565
,,,,,,,3.66274597243964,0.117439120399315,,,,,
18.5,4.01370030700035,0.072182347592445,0.414199268595485,0.149578089494062,3.59950103840486,0.166084003325576,,,0.978776002727359,0.0484576706160339,5.11012795555,1.28079523541304,0.0461408405091549
,,,,,,,3.57832732391859,0.117439126475672,,,,,
19.5,3.97135287802779,0.072182357208197,0.414199268595485,0.149578089494062,3.55715360943231,0.166084007504712,,,0.953167169985886,0.0476345238835657,5.38006682725,1.26896067714275,0.0466901421024711
,,,,,,,3.10593256801403,0.117439192191454,,,,,
20.5,3.06891079519123,0.0721827752639522,0.414199268595485,0.149578089494062,2.65471152659575,0.166084189197828,,,0.864215644919619,0.0555495951560428,5.6768159043,0.976335995907792,0.0625620477155213
,,,,,,,2.61050569417815,0.117439267675863,,,,,
21.5,2.98049913035604,0.0721828484529288,0.414199268595485,0.149578089494062,2.56629986176056,0.16608422100691,,,0.837686859380256,0.0555536205380708,6.00279514145,0.942465118976397,0.0647173868812708
,,,,,,,2.68153570052565,0.117439254672468,,,,,
22.5,3.21097080788623,0.0721826906393329,0.414199268595485,0.149578089494062,2.79677153929075,0.166084152418668,,,0.931008028511339,0.0568243664539992,6.3324475641,1.02846573025837,0.0593842400372774
,,,,,,,2.99789441602651,0.117439205542446,,,,,
23.5,3.61321656135775,0.0721825287202038,0.414199268595485,0.149578089494062,3.19901729276227,0.166084082046223,,,1.05910850488905,0.0568837023665109,6.66442745005,1.16284366663025,0.0519172192104076
,,,,,,,3.04567379905226,0.141584887078554,,,,,
24.5,3.30652957393774,0.173860846168301,0.414199268595485,0.149578089494062,2.89233030534226,0.229349512070663,,,0.928271622900531,0.0742816351832376,6.99043522293333,1.06206251124017,0.079295753893338
,,,,,,,2.75200248709144,0.161253266248408,,,,,
25.5,3.0258739374361,0.170398532738328,0.414199268595485,0.149578089494062,2.61167466884062,0.226736112730347,,,0.811739447260082,0.0711014909674366,7.30631238358333,0.959991651145628,0.0868163693723002
,,,,,,,2.48325776572587,0.140528715488536,,,,,
26.5,2.7690401312066,0.0721831686383316,0.414199268595485,0.149578089494062,2.35484086261112,0.166084360164837,,,0.708056475988714,0.0512644021400951,7.612058932,0.856473150922342,0.0705289103827925
,,,,,,,2.30750860054522,0.117439394955973,,,,,
27.5,2.6743756070748,0.0721832834002689,0.414199268595485,0.149578089494062,2.26017633847932,0.166084410042415,,,0.704553854924565,0.0530882573862549,7.9182621385,0.815442836116137,0.0734829434388998
,,,,,,,1.90810463371716,0.117439805411031,,,,,
28.5,1.97023219755049,0.072185839775488,0.414199268595485,0.149578089494062,1.55603292895501,0.1660855211052,,,0.472324092162947,0.0510509083195578,8.22589660585,0.44213958809976,0.106736507958568
,,,,,,,1.4860289780234,0.11744031248379,,,,,
29.5,1.83022429568727,0.0721865832941371,0.414199268595485,0.149578089494062,1.41602502709179,0.166085844262462,,,0.462944537315739,0.0547550950410529,8.54113471495,0.347853669615184,0.117290189851777
,,,,,,,1.3695959088928,0.117443281416337,,,,,
30.5,1.73736605928929,0.0722051582525746,0.414199268595485,0.149578089494062,1.32316679069381,0.166093918416578,,,0.438862625334921,0.0555033768397851,8.87043892575,0.280027947250001,0.125527574894384
,,,,,,,1.1348070287626,0.11744472050304,,,,,
31.5,1.36064653542687,0.0721959479782816,0.414199268595485,0.149578089494062,0.946447266831385,0.166089914688329,,,0.285214645403473,0.0502718651479643,9.18695336835,-0.0550400237449663,0.175487764093167
,,,,,,,0.89921469860601,0.117445055066157,,,,,
32.5,1.26618139897612,0.0722073349466701,0.414199268595485,0.149578089494062,0.851982130380635,0.166094864691218,,,0.259332643319449,0.0507479357880284,9.4898235377,-0.160189726104422,0.194951113137799
,,,,,,,0.7417084457598,0.117452057039723,,,,,
33.5,1.04563402973445,0.0722414969249807,0.414199268595485,0.149578089494062,0.631434761138965,0.166109718965073,,,0.184971969280571,0.0487718631096128,9.78848682875,-0.459760650304985,0.263067111898383
,,,,,,,0.585428005624009,0.117459570386438,,,,,
34.5,0.953620518704537,0.0722562046478848,0.414199268595485,0.149578089494062,0.539421250109052,0.166116115915376,,,0.163743793015787,0.0505049371582687,10.0867337012,-0.617258473225561,0.307952487748291
